  | SERİK SPOR FUTBOL A.Ş. - SULTAN SU İNEGÖLSPOR | Skor: - | Hakem: (H) BEKİR DOĞAN | ISPARTA ATATÜRK STADI
  | EKİNCİLER İSKENDERUNSPOR A.Ş. - KIRKLARELİSPOR | Skor: - | Hakem: (H) EMRE CAN FURUNCU | SARISEKİ FUAT TOSYALI SPOR KOMPLEKSİ
  | BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş. - KÜTAHYASPOR FUTBOL SPOR KULÜBÜ | Skor: - | Hakem: (H) LÜTFULLAH ASLAN | BAYRAMPAŞA ÇETİN EMEÇ
  | 12 BİNGÖL SPOR - MKE ANKARAGÜCÜ | Skor: - | Hakem: (H) AYKUT SERGİN | YALOVA ATATÜRK
  | ERZİNCAN FUTBOL YATIRIMLARI A.Ş. - AKEDAŞ KAHRAMANMARAŞ İSTİKLAL SPOR | Skor: - | Hakem: (H) YUNUS EMRE ÇAKAR | ERZİNCAN 13 ŞUBAT ŞEHİR STADI
  | SAKARYASPOR A.Ş. - ADANA 01 FUTBOL KULÜBÜ SK | Skor: - | Hakem: (H) MEHMET TERECE | YENİ SAKARYA ATATÜRK
  | 52 ORDUSPOR FK - KCT 1461 TRABZON FK | Skor: - | Hakem: (H) ŞEVKET TEKER | 19 EYLÜL STADYUMU
  | GÜZİDE GEBZE SPOR KULÜBÜ - ARKENT ARNAVUTKÖY BELEDİYESİ FUTBOL SK | Skor: 1-0 | Hakem: (H) GÜRKAN ÖZBALKANLI | ALEATTİN KURT STADI
  | İNEGÖL KAFKAS SPOR KULÜBÜ - SOMASPOR | Skor: 1-3 | Hakem: (H) ALP TANIRGAN | İNEGÖL İLÇE STADI
  | ADANA DEMİRSPOR A.Ş. - SEZA ÇİMENTO ELAZIĞSPOR | Skor: 0-2 | Hakem: (H) SAFA YILMAZ | YENİ ADANA STADYUMU
  | SEBAT SPOR KULÜBÜ - KIZILKAYA TARIM ŞANLIURFASPOR | Skor: - | Hakem: (H) ENVER AYDIN | ORTAHİSAR YAVUZ SELİM STADI
  | ANKARASPOR - EFOR ÇAY ERBAASPOR | Skor: - | Hakem: (H) BERKAY AĞIŞ | SİNCAN 15 TEMMUZ MİLLİ BİRLİK STADI
  | 68 AKSARAY BELEDİYE SPOR - GMG KASTAMONUSPOR | Skor: - | Hakem: (H) TALHA ÖZTÜRK | DAĞILGAN STADI
